"name","strict","number","percent"
"annotate",FALSE,235,18.7699680511182
"annotate",TRUE,684,54.6325878594249
"annotate",NA,431,34.4249201277955
"Biobase",FALSE,334,22.7830832196453
"Biobase",TRUE,726,49.5225102319236
"Biobase",NA,540,36.8349249658936
"Biostrings",FALSE,226,20.4710144927536
"Biostrings",TRUE,566,51.268115942029
"Biostrings",NA,406,36.7753623188406
"caschrono",FALSE,208,17.6720475785896
"caschrono",TRUE,554,47.0688190314359
"caschrono",NA,491,41.7162276975361
"colorspace",FALSE,279,17.2222222222222
"colorspace",TRUE,815,50.3086419753086
"colorspace",NA,633,39.0740740740741
"copula",FALSE,209,17.696867061812
"copula",TRUE,510,43.1837425910246
"copula",NA,541,45.8086367485182
"dplyr",FALSE,332,22.4172856178258
"dplyr",TRUE,780,52.6671168129642
"dplyr",NA,460,31.0600945307225
"ggplot2",FALSE,173,17.6530612244898
"ggplot2",TRUE,475,48.469387755102
"ggplot2",NA,395,40.3061224489796
"grid",FALSE,215,18.3760683760684
"grid",TRUE,605,51.7094017094017
"grid",NA,452,38.6324786324786
"lmtest",FALSE,152,15.5419222903885
"lmtest",TRUE,459,46.9325153374233
"lmtest",NA,425,43.4560327198364
"mvtnorm",FALSE,124,14.2528735632184
"mvtnorm",TRUE,384,44.1379310344828
"mvtnorm",NA,405,46.551724137931
"rivr",FALSE,174,19.4630872483221
"rivr",TRUE,435,48.6577181208054
"rivr",NA,328,36.6890380313199
"stringr",FALSE,92,13.1805157593123
"stringr",TRUE,369,52.865329512894
"stringr",NA,279,39.9713467048711
"tm",FALSE,169,18.1916038751346
"tm",TRUE,459,49.4079655543595
"tm",NA,350,37.6749192680301
